beeid,species code,altitude,mass
Am01,amel,200,0.0641
Am02,amel,200,0.083
Am03,amel,200,0.072
Am04,amel,200,0.0734
Am05,amel,200,0.0481
Am06,amel,200,0.0614
Am07,amel,200,0.0681
Am08,amel,200,0.0687
Am09,amel,200,0.0598
Am10,amel,200,0.0682
Am11,amel,200,0.0705
Am12,amel,200,0.0685
Am13,amel,200,0.0831
Am14,amel,200,0.0646
Am15,amel,200,0.0678
Am16,amel,200,0.0674
Am17,amel,200,0.0724
Am18,amel,200,0.0742
Am19,amel,200,0.0727
Am20,amel,200,0.0682
Am21,amel,200,0.0618
Am22,amel,200,0.078
Am23,amel,200,0.0681
Am24,amel,200,0.0677
Am25,amel,200,0.0685
Am26,amel,200,0.0753
Am27,amel,200,0.0593
Am28,amel,200,0.0789
Am29,amel,200,0.0779
Am31,amel,2100,0.0836
Am32,amel,2100,0.0817
Am33,amel,2100,0.0793
Am34,amel,2100,0.0753
Am35,amel,2100,0.0849
Am36,amel,2100,0.0774
Am37,amel,2100,0.0789
Am38,amel,2100,0.075
Am39,amel,2100,0.076
Am40,amel,2100,0.0751
Am41,amel,2100,0.0856
Am42,amel,2100,0.0804
Am43,amel,2100,0.0949
Am44,amel,2100,0.0798
Am45,amel,2100,0.076
E04,ecin,300,0.386
E06,ecin,300,0.525
E07,ecin,300,0.53
E08,ecin,300,0.481
E09,ecin,300,0.449
E10,ecin,300,0.472
E11,ecin,300,0.477
E12,ecin,300,0.501
E14,ecin,300,0.168
E15,ecin,300,0.643
E16,ecin,300,0.354
ecin01,ecin,1250,0.335
ALZ41,ecin,1250,0.45
ALZ41,ecin,1250,0.367
ALZ43,ecin,1250,0.37
ALZ24,ecin,1250,0.44
ALZ25,ecin,1250,0.424
ALZ27,ecin,1250,0.455
ALZ20,ecin,1250,0.421
ALZ14,ecin,1250,0.441
